report_month,data_month,source_report_name,metric,category,currency_or_economy,value,unit,rmb_global_rank,notes
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,CNY,2.74,%,6,Rank 6
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,HKD,1.71,%,,Rank 7
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,AUD,1.68,%,,Rank 8
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,SGD,1.29,%,,Rank 9
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,CHF,0.97,%,,Rank 10
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,SEK,0.85,%,,Rank 11
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,PLN,0.70,%,,Rank 12
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,NOK,0.62,%,,Rank 13
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,DKK,0.38,%,,Rank 14
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,NZD,0.34,%,,Rank 15
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,MXN,0.32,%,,Rank 16
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,ZAR,0.32,%,,Rank 17
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,THB,0.29,%,,Rank 18
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,HUF,0.25,%,,Rank 19
March 2026,February 2026,Global Currency Tracker,Global Payment Share,Currency Ranking,CLP,0.23,%,,Rank 20
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,USD,57.49,%,,Rank 1
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,EUR,14.07,%,,Rank 2
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,GBP,5.68,%,,Rank 3
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,JPY,5.11,%,,Rank 4
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,CAD,2.71,%,,Rank 5
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,CNY,2.16,%,6,Rank 6
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,AUD,2.03,%,,Rank 7
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,CHF,1.94,%,,Rank 8
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,HKD,1.33,%,,Rank 9
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,SEK,0.99,%,,Rank 10
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,SGD,0.76,%,,Rank 11
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,NOK,0.70,%,,Rank 12
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,PLN,0.70,%,,Rank 13
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,DKK,0.60,%,,Rank 14
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,MXN,0.55,%,,Rank 15
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,NZD,0.43,%,,Rank 16
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,CZK,0.37,%,,Rank 17
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,TRY,0.37,%,,Rank 18
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,ZAR,0.32,%,,Rank 19
March 2026,February 2026,Global Currency Tracker,International Payment Share (ex-Eurozone),Currency Ranking,HUF,0.31,%,,Rank 20
March 2026,February 2026,Global Currency Tracker,RMB MoM Payment Growth,RMB Activity,CNY,,,6,No MoM growth figure provided in report
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Hong Kong,75.57,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,United Kingdom,6.80,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Singapore,4.32,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,United States,2.78,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,France,1.81,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Taiwan,1.28,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,South Korea,1.09,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Macao,1.01,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Japan,0.81,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Germany,0.69,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Australia,0.69,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Belgium,0.49,%,,Non-clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Luxembourg,0.40,%,,Non-clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Netherlands,0.34,%,,Non-clearing centre
March 2026,February 2026,Global Currency Tracker,Offshore RMB by Economy,Offshore Economies,Canada,0.22,%,,Clearing centre
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,USD,81.96,%,,Rank 1
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,EUR,6.02,%,,Rank 2 - NOTE: CNY dropped to 3rd this month
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,CNY,5.90,%,,Rank 3 - Notable: dropped from 2nd to 3rd
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,JPY,1.56,%,,Rank 4
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,SAR,0.80,%,,Rank 5
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,AED,0.78,%,,Rank 6
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,THB,0.74,%,,Rank 7
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,IDR,0.53,%,,Rank 8
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,VND,0.35,%,,Rank 9
March 2026,February 2026,Global Currency Tracker,Trade Finance Share,Currency Ranking,INR,0.21,%,,Rank 10
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,USD,,,6,Rank 1
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,EUR,,,6,Rank 2
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,GBP,,,6,Rank 3
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,JPY,,,6,Rank 4
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,CAD,,,6,Rank 5
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,CNY,,,6,Rank 6
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,AUD,,,6,Rank 7
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,CHF,,,6,Rank 8
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,KRW,,,6,Rank 9
March 2026,February 2026,Global Currency Tracker,FX Spot Currency Ranking,FX Spot,HKD,,,6,Rank 10
March 2026,February 2026,Global Currency Tracker,FX Spot Economies (RMB),Offshore Economies,United Kingdom,37.89,%,,
March 2026,February 2026,Global Currency Tracker,FX Spot Economies (RMB),Offshore Economies,United States,15.69,%,,
March 2026,February 2026,Global Currency Tracker,FX Spot Economies (RMB),Offshore Economies,Hong Kong,10.43,%,,
March 2026,February 2026,Global Currency Tracker,FX Spot Economies (RMB),Offshore Economies,France,9.49,%,,
March 2026,February 2026,Global Currency Tracker,FX Spot Economies (RMB),Offshore Economies,China,6.69,%,,
March 2026,February 2026,Global Currency Tracker,FX Spot Economies (RMB),Offshore Economies,Others,19.82,%,,
